"SYMBOL","СTO_1","СTO_2","СTO_3","СTO_4","СTO_5","СTO_6","СTO_7","СTO_8","СTO_9","СTO_10"
"RAD23B",6942.23079873796,6913.89773215179,6801.14783301684,7012.10209687456,6848.44059580799,7310.45475649683,7041.16754785556,7019.86443825655,7054.1465537244,6913.76278450883
"RAD50",1365.18996387474,1370.30194216041,1360.3431180877,1378.47174462911,1378.69257738718,1364.73727204805,1369.16834237007,1364.411408773,1380.87539677947,1344.23301746586
"RAD51",36.2754478480139,38.7945932242407,34.2940928986809,35.3468266249246,34.3483852182261,34.4897921284849,35.8971827673902,36.121668329143,34.5898903192152,34.8085411591744
"RAD51AP1",58.6406386357615,55.1315573932553,42.0330474631174,55.4446914338638,42.7412378648525,47.1706511302375,49.9138498089243,54.2667293176861,43.2369349561577,41.6235686863621
"RAD51B",86.3041837913475,84.6894434964574,86.5975271106105,86.2218273829622,84.3584550746303,85.162678636624,85.0107219134722,85.7221740446996,84.6441596000845,84.8007045173367
"RAD51C",427.50706588793,385.704512625878,399.801904705617,427.467777826195,366.167178165424,397.216495752378,441.038094374415,402.750989727457,383.304932086734,369.6880868216
"RAD51D",324.155290891426,323.149461334619,327.625232502556,349.308897651439,325.100101175494,324.498924963681,324.062498482248,332.975395315946,325.401827543211,322.844045689902
"RAD52",565.173822337525,539.546112627678,539.800564059018,557.830006284791,539.683547550871,539.122015516997,540.708689413651,540.013524176721,539.936690909413,539.624560765338
"RAD54L",96.8875849200683,92.6160409721147,81.5327078227589,94.1365473084738,80.6905506459554,83.7022707257356,91.7743891631006,91.6909514584489,81.5161890491281,82.7693128930334
"RAD54L2",1571.56654660442,1466.0617781118,1450.22128170529,1582.31623378918,1578.37138679904,1598.46115796435,1655.25237504836,1620.97792703751,1576.8413595692,1400.06617245791
"RAD9A",701.118875575977,814.125368894475,760.428668307471,773.042803871661,684.695617183713,693.777612619858,730.501586772282,768.933802955996,723.428778144496,702.265767041811
"RAE1",1129.73220266241,1109.52030133553,1054.12848096386,1113.2414031942,1074.22645755572,1162.2137094599,1143.03605161074,1086.07878923395,1027.42209257133,1114.1987662331
"RAF1",6994.66116778441,6604.88720698415,6743.53871477577,7018.12668245121,7085.93387629277,7084.82673720766,6778.29237349482,6936.37165798447,7214.41021978492,6613.18205079415
"RAI14",687.103549486976,842.290711308287,941.80557382142,662.047105359358,712.458920176466,1253.44005489052,1001.01809287583,690.71933894958,1250.13747217666,1262.2862873607
"RAI2",354.522799719245,350.793174019799,498.52420087566,359.316677736776,625.664810679396,380.084750266132,359.800847293903,366.013809192983,435.590354464267,398.99137011836
"RALA",1493.43546011443,1566.93491108586,1451.02834003337,1579.39923288771,1571.74351169622,1477.19150598244,1508.60909626184,1579.92651012924,1447.16213169708,1489.395357247
"RALB",3397.21773304885,3474.45628075463,3270.18480345053,3514.75393000628,3328.00116586516,3178.09938378197,3638.01445320532,3422.20104772909,3204.23266155089,3425.40646642666
"RALBP1",3700.58645319367,3192.40649721379,3318.76677116825,3539.1122724782,3573.91636389323,3749.89853558446,3371.63275768839,3519.00534532491,3445.36380056118,3436.3883081742
"RALGAPA1",951.819904556317,932.05611151709,886.630375550829,1081.9945834276,995.806807485281,1057.92998863246,863.817449156541,890.294053906254,944.954874108273,935.964260077443
"RALGAPB",3132.03386995017,3056.13049016903,3093.70402770211,3032.20266652021,3147.7296673171,3115.37930360646,3025.6145089839,3028.64081260356,3049.44502951614,3103.81837870966
